day_of_week,hour_of_day,category,items_count
0,8,popcorn jerky,3
0,10,beers coolers,1
0,10,indian foods,1
0,17,canned jarred vegetables,6
0,17,white wines,0
0,19,baking supplies decor,0
0,12,feminine care,0
0,12,prepared meals,6
0,12,refrigerated,16
0,11,soft drinks,6
0,13,packaged cheese,45
0,13,soy lactosefree,15
0,21,plates bowls cups flatware,0
0,0,frozen breakfast,0
0,9,baby food formula,3
0,20,muscles joints pain relief,0
0,2,cookies cakes,0
0,8,more household,0
0,18,cereal,6
0,19,frozen vegan vegetarian,0
0,19,red wines,0
0,11,asian foods,7
0,13,latino foods,1
0,14,latino foods,4
0,0,trash bags liners,0
0,6,meat counter,2
0,6,packaged seafood,0
0,22,trail mix snack mix,0
0,5,muscles joints pain relief,0
0,5,seafood counter,0
0,7,popcorn jerky,1
0,20,preserved dips spreads,0
0,2,pickled goods olives,0
0,8,frozen breads doughs,0
0,8,specialty wines champagnes,0
0,10,soft drinks,3
0,18,prepared soups salads,0
0,17,prepared soups salads,4
0,19,first aid,0
0,13,coffee,10
0,21,soft drinks,1
0,9,hot dogs bacon sausage,5
0,9,oils vinegars,10
0,23,poultry counter,1
0,5,poultry counter,0
0,2,seafood counter,0
0,15,packaged vegetables fruits,65
0,15,shave needs,0
0,16,cookies cakes,4
0,16,trail mix snack mix,1
0,17,dish detergents,3
0,19,beauty,0
0,19,hair care,2
0,21,condiments,1
0,21,doughs gelatins bake mixes,0
0,14,baby food formula,2
0,0,food storage,0
0,0,oils vinegars,0
0,1,packaged vegetables fruits,6
0,23,missing,3
0,5,indian foods,0
0,5,specialty cheeses,0
0,7,doughs gelatins bake mixes,0
0,20,cleaning products,0
0,20,cream,1
0,3,canned meat seafood,0
0,3,frozen dessert,0
0,8,specialty cheeses,0
0,15,hot cereal pancake mixes,2
0,15,pasta sauce,9
0,16,air fresheners candles,3
0,16,milk,31
0,16,spirits,0
0,18,salad dressing toppings,1
0,19,baby bath body care,0
0,12,baby accessories,1
0,12,vitamins supplements,1
0,11,baby accessories,1
0,14,bakery desserts,0
0,23,soap,0
0,22,baby accessories,0
0,7,frozen dessert,0
0,3,cat food care,0
0,3,grains rice dried goods,0
0,17,hot cereal pancake mixes,1
0,19,energy granola bars,8
0,19,nuts seeds dried fruit,2
0,19,preserved dips spreads,2
0,11,candy chocolate,5
0,13,ice cream ice,18
0,21,fruit vegetable snacks,3
0,21,protein meal replacements,0
0,21,specialty wines champagnes,0
0,14,chips pretzels,24
0,0,hot cereal pancake mixes,0
0,0,refrigerated pudding desserts,0
0,0,tortillas flat bread,0
0,6,beers coolers,0
0,23,seafood counter,0
0,22,days_since_prior_order,300
0,5,days_since_prior_order,103
0,5,pasta sauce,0
0,8,refrigerated,13
0,10,frozen meals,12
0,10,hair care,0
0,18,muscles joints pain relief,1
0,19,cold flu allergy,0
0,12,facial care,0
0,12,laundry,6
0,12,soft drinks,9
0,11,canned meat seafood,1
0,11,first aid,0
0,13,baby bath body care,0
0,13,spreads,8
0,21,muscles joints pain relief,0
0,14,baking ingredients,9
0,9,fresh dips tapenades,15
0,9,oral hygiene,1
0,6,food storage,0
0,23,plates bowls cups flatware,1
0,22,baby food formula,8
0,22,indian foods,0
0,22,paper goods,3
0,5,soft drinks,0
0,20,oral hygiene,0
0,20,seafood counter,0
0,3,popcorn jerky,0
0,3,soft drinks,0
0,15,bulk grains rice dried goods,0
0,15,refrigerated,14
0,19,cereal,4
0,14,plates bowls cups flatware,1
0,14,white wines,0
0,0,laundry,0
0,1,facial care,0
0,6,buns rolls,0
0,6,hot dogs bacon sausage,2
0,6,tortillas flat bread,1
0,23,chips pretzels,4
0,20,ice cream toppings,1
0,2,body lotions soap,0
0,3,beauty,0
0,3,coffee,0
0,3,shave needs,0
0,8,canned jarred vegetables,1
0,15,dry pasta,9
0,15,preserved dips spreads,1
0,10,protein meal replacements,1
0,10,spirits,0
0,18,fresh pasta,0
0,17,spreads,8
0,21,red wines,0
0,0,baby accessories,0
0,6,bakery desserts,0
0,22,hot dogs bacon sausage,1
0,20,canned jarred vegetables,2
0,2,diapers wipes,0
0,2,spirits,0
0,3,doughs gelatins bake mixes,0
0,16,soy lactosefree,20
0,18,red wines,0
0,12,nuts seeds dried fruit,6
0,12,paper goods,9
0,13,packaged produce,15
0,0,candy chocolate,1
0,0,deodorants,0
0,1,bulk grains rice dried goods,0
0,6,deodorants,0
0,22,beers coolers,0
0,8,candy chocolate,7
0,15,oils vinegars,7
0,10,honeys syrups nectars,0
0,19,deodorants,1
0,19,dog food care,1
0,13,preserved dips spreads,11
0,21,frozen appetizers sides,1
0,1,other creams cheeses,1
0,6,baby accessories,0
0,22,missing,0
0,20,frozen breakfast,2
0,15,diapers wipes,1
0,16,bread,14
0,18,fresh fruits,58
0,18,paper goods,9
0,17,baby accessories,1
0,17,cleaning products,7
0,11,fresh pasta,3
0,11,hot dogs bacon sausage,13
0,13,beauty,0
0,21,coffee,0
0,21,tea,1
0,14,eye ear care,0
0,6,fresh pasta,0
0,7,baby accessories,0
0,3,juice nectars,0
0,8,grains rice dried goods,4
0,15,baby accessories,0
0,16,shave needs,2
0,10,oils vinegars,12
0,19,granola,0
0,19,spirits,2
0,19,tea,3
0,12,cereal,6
0,12,specialty wines champagnes,0
0,11,facial care,0
0,11,packaged poultry,5
0,13,other creams cheeses,12
0,0,water seltzer sparkling water,0
0,9,grains rice dried goods,2
0,5,missing,1
0,7,cleaning products,0
0,7,packaged meat,1
0,20,frozen vegan vegetarian,0
0,2,dog food care,0
0,3,crackers,2
0,8,baking ingredients,0
0,8,frozen pizza,5
